,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Revenue Rating
0,TXN_8249251,Cake,0,3.0,9.0,Unknown,In-Store,2023-01-01,High
1,TXN_4292280,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-01,High
2,TXN_2104473,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-01-01,High
3,TXN_4262142,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-02,Low
4,TXN_4314314,Cake,4,3.0,12.0,Cash,Unknown,2023-01-02,High
5,TXN_9649503,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-01-02,Low
6,TXN_6368719,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-03,High
7,TXN_6697669,Cake,5,3.0,15.0,Cash,Unknown,2023-01-03,High
8,TXN_3749801,Cake,5,3.0,0.0,Credit Card,Takeaway,2023-01-03,Low
9,TXN_6044312,Cake,2,3.0,6.0,Unknown,In-Store,2023-01-03,Low
10,TXN_3297457,Cake,2,3.0,6.0,Unknown,Unknown,2023-01-03,Low
11,TXN_9415451,Cake,3,3.0,9.0,Unknown,Takeaway,2023-01-04,High
12,TXN_3896128,Cake,1,3.0,0.0,Unknown,In-Store,2023-01-04,Low
13,TXN_4980036,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-05,Low
14,TXN_8608811,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-01-05,High
15,TXN_2372348,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-01-05,Low
16,TXN_1960599,Cake,4,3.0,12.0,Cash,Unknown,2023-01-06,High
17,TXN_8066306,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-01-07,High
18,TXN_6857943,Cake,5,3.0,15.0,Unknown,Takeaway,2023-01-08,High
19,TXN_7516790,Cake,2,3.0,6.0,Unknown,Unknown,2023-01-08,Low
20,TXN_2680626,Cake,3,3.0,9.0,Cash,In-Store,2023-01-08,High
21,TXN_5991995,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-01-08,Low
22,TXN_4615235,Cake,4,3.0,12.0,Cash,Unknown,2023-01-08,High
23,TXN_3703482,Cake,4,3.0,0.0,Unknown,Unknown,2023-01-08,Low
